Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12
2048,1024,512,256,2176,3136,1568,2832,1416,2756,3426,1713
2048,1024,512,256,2176,3136,1568,2832,1416,2756,3426,3761
2048,1024,512,256,2176,3136,1568,2832,3464,1732,866,433
2048,1024,512,256,2176,3136,1568,2832,3464,1732,866,2481
2048,1024,512,256,2176,3136,1568,2832,3464,1732,2914,1457
2048,1024,512,256,2176,3136,1568,2832,3464,1732,2914,3505
2048,1024,512,256,2176,3136,1568,2832,3464,3780,1890,945
2048,1024,512,256,2176,3136,1568,2832,3464,3780,1890,2993
2048,1024,512,256,2176,3136,1568,2832,3464,3780,3938,1969
2048,1024,512,256,2176,3136,1568,2832,3464,3780,3938,4017
2048,1024,512,256,2176,3136,3616,1808,904,452,226,113
2048,1024,512,256,2176,3136,3616,1808,904,452,226,2161
2048,1024,512,256,2176,3136,3616,1808,904,452,2274,1137
2048,1024,512,256,2176,3136,3616,1808,904,452,2274,3185
2048,1024,512,256,2176,3136,3616,1808,904,2500,1250,625
2048,1024,512,256,2176,3136,3616,1808,904,2500,1250,2673
2048,1024,512,256,2176,3136,3616,1808,904,2500,3298,1649
2048,1024,512,256,2176,3136,3616,1808,904,2500,3298,3697
2048,1024,512,256,2176,3136,3616,1808,2952,1476,738,369
2048,1024,512,256,2176,3136,3616,1808,2952,1476,738,2417
2048,1024,512,256,2176,3136,3616,1808,2952,1476,2786,1393
2048,1024,512,256,2176,3136,3616,1808,2952,1476,2786,3441
2048,1024,512,256,2176,3136,3616,1808,2952,3524,1762,881
2048,1024,512,256,2176,3136,3616,1808,2952,3524,1762,2929
2048,1024,512,256,2176,3136,3616,1808,2952,3524,3810,1905
2048,1024,512,256,2176,3136,3616,1808,2952,3524,3810,3953
2048,1024,512,256,2176,3136,3616,3856,1928,964,482,241
2048,1024,512,256,2176,3136,3616,3856,1928,964,482,2289
2048,1024,512,256,2176,3136,3616,3856,1928,964,2530,1265
2048,1024,512,256,2176,3136,3616,3856,1928,964,2530,3313
2048,1024,512,256,2176,3136,3616,3856,1928,3012,1506,753
2048,1024,512,256,2176,3136,3616,3856,1928,3012,1506,2801
2048,1024,512,256,2176,3136,3616,3856,1928,3012,3554,1777
2048,1024,512,256,2176,3136,3616,3856,1928,3012,3554,3825
2048,1024,512,256,2176,3136,3616,3856,3976,1988,994,497
2048,1024,512,256,2176,3136,3616,3856,3976,1988,994,2545
2048,1024,512,256,2176,3136,3616,3856,3976,1988,3042,1521
2048,1024,512,256,2176,3136,3616,3856,3976,1988,3042,3569
2048,1024,512,256,2176,3136,3616,3856,3976,4036,2018,1009
2048,1024,512,256,2176,3136,3616,3856,3976,4036,2018,3057
2048,1024,512,256,2176,3136,3616,3856,3976,4036,4066,2033
2048,1024,512,256,2176,3136,3616,3856,3976,4036,4066,4081
2048,1024,512,2304,1152,576,288,144,72,36,18,9
2048,1024,512,2304,1152,576,288,144,72,36,18,2057
2048,1024,512,2304,1152,576,288,144,72,36,2066,1033
2048,1024,512,2304,1152,576,288,144,72,36,2066,3081
2048,1024,512,2304,1152,576,288,144,72,2084,1042,521
2048,1024,512,2304,1152,576,288,144,72,2084,1042,2569
2048,1024,512,2304,1152,576,288,144,72,2084,3090,1545
2048,1024,512,2304,1152,576,288,144,72,2084,3090,3593
2048,1024,512,2304,1152,576,288,144,2120,1060,530,265
2048,1024,512,2304,1152,576,288,144,2120,1060,530,2313
2048,1024,512,2304,1152,576,288,144,2120,1060,2578,1289
2048,1024,512,2304,1152,576,288,144,2120,1060,2578,3337
2048,1024,512,2304,1152,576,288,144,2120,3108,1554,777
2048,1024,512,2304,1152,576,288,144,2120,3108,1554,2825
2048,1024,512,2304,1152,576,288,144,2120,3108,3602,1801
2048,1024,512,2304,1152,576,288,144,2120,3108,3602,3849
2048,1024,512,2304,1152,576,288,2192,1096,548,274,137
2048,1024,512,2304,1152,576,288,2192,1096,548,274,2185
2048,1024,512,2304,1152,576,288,2192,1096,548,2322,1161
2048,1024,512,2304,1152,576,288,2192,1096,548,2322,3209
2048,1024,512,2304,1152,576,288,2192,1096,2596,1298,649
2048,1024,512,2304,1152,576,288,2192,1096,2596,1298,2697
2048,1024,512,2304,1152,576,288,2192,1096,2596,3346,1673
2048,1024,512,2304,1152,576,288,2192,1096,2596,3346,3721
2048,1024,512,2304,1152,576,288,2192,3144,1572,786,393
2048,1024,512,2304,1152,576,288,2192,3144,1572,786,2441
2048,1024,512,2304,1152,576,288,2192,3144,1572,2834,1417
2048,1024,512,2304,1152,576,288,2192,3144,1572,2834,3465
2048,1024,512,2304,1152,576,288,2192,3144,3620,1810,905
2048,1024,512,2304,1152,576,288,2192,3144,3620,1810,2953
2048,1024,512,2304,1152,576,288,2192,3144,3620,3858,1929
2048,1024,512,2304,1152,576,288,2192,3144,3620,3858,3977
2048,1024,512,2304,1152,576,2336,1168,584,292,146,73
2048,1024,512,2304,1152,576,2336,1168,584,292,146,2121
2048,1024,512,2304,1152,576,2336,1168,584,292,2194,1097
2048,1024,512,2304,1152,576,2336,1168,584,292,2194,3145
2048,1024,512,2304,1152,576,2336,1168,584,2340,1170,585
2048,1024,512,2304,1152,576,2336,1168,584,2340,1170,2633
2048,1024,512,2304,1152,576,2336,1168,584,2340,3218,1609
2048,1024,512,2304,1152,576,2336,1168,584,2340,3218,3657
2048,1024,512,2304,1152,576,2336,1168,2632,1316,658,329
2048,1024,512,2304,1152,576,2336,1168,2632,1316,658,2377
2048,1024,512,2304,1152,576,2336,1168,2632,1316,2706,1353
2048,1024,512,2304,1152,576,2336,1168,2632,1316,2706,3401
2048,1024,512,2304,1152,576,2336,1168,2632,3364,1682,841
2048,1024,512,2304,1152,576,2336,1168,2632,3364,1682,2889
2048,1024,512,2304,1152,576,2336,1168,2632,3364,3730,1865
2048,1024,512,2304,1152,576,2336,1168,2632,3364,3730,3913
2048,1024,512,2304,1152,576,2336,3216,1608,804,402,201
2048,1024,512,2304,1152,576,2336,3216,1608,804,402,2249
2048,1024,512,2304,1152,576,2336,3216,1608,804,2450,1225
